millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_ref,z_ref,z_meas,int_ev,u_pi,Kp_up,Ki_up,Kp_down,Ki_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
3953,11:17:12,SAFETY,8.14,85.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,0.0000,0.0000,0.0000,0.0000
4053,11:17:12,SAFETY,8.14,85.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,0.0000,0.0000,0.0000,0.0000
4153,11:17:12,SAFETY,8.14,85.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3830,0.0000,0.0000,0.0000
4253,11:17:12,SAFETY,8.14,85.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3760,0.0000,0.0000,0.0000
4353,11:17:12,SAFETY,8.14,85.7,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3720,0.0000,0.0000,0.0000
4453,11:17:12,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3580,0.0000,0.0000,0.0000
4553,11:17:12,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3460,0.0000,0.0000,0.0000
4653,11:17:13,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3280,0.0000,0.0000,0.0000
4753,11:17:13,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.3060,0.0000,0.0000,0.0000
4853,11:17:13,SAFETY,8.16,86.9,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.2870,0.0000,0.0000,0.0000
4953,11:17:13,SAFETY,8.17,87.3,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.2670,0.0000,0.0000,0.0000
5053,11:17:13,SAFETY,8.17,87.3,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.2480,0.0000,0.0000,0.0000
5153,11:17:13,SAFETY,8.17,87.3,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.2320,0.0000,0.0000,0.0000
5253,11:17:13,SAFETY,8.17,87.3,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.2110,0.0000,0.0000,0.0000
5353,11:17:13,SAFETY,8.17,87.3,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.1900,0.0000,0.0000,0.0000
5453,11:17:13,SAFETY,8.05,80.6,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.1710,0.0000,0.0000,0.0000
5553,11:17:13,SAFETY,8.05,80.6,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.1540,0.0000,0.0000,0.0000
5653,11:17:14,SAFETY,8.05,80.6,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.1290,0.0000,0.0000,0.0000
5753,11:17:14,SAFETY,8.05,80.6,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.1150,0.0000,0.0000,0.0000
5853,11:17:14,SAFETY,8.05,80.6,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.0880,0.0000,0.0000,0.0000
5953,11:17:14,SAFETY,8.13,84.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.0700,0.0000,0.0000,0.0000
6053,11:17:14,SAFETY,8.13,84.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.0480,0.0000,0.0000,0.0000
6153,11:17:14,SAFETY,8.13,84.8,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.800,0.100,3.100,1.500,0.600,1.0280,0.0000,0.0000,0.0000
