millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
5264,11:32:44,SAFETY,7.84,68.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
5364,11:32:44,SAFETY,7.84,68.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,0.0000,0.0000,0.0000,0.0000
5464,11:32:44,SAFETY,7.84,68.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.4250,0.0000,0.0000,0.0000
5564,11:32:44,SAFETY,7.84,68.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.4000,0.0000,0.0000,0.0000
5664,11:32:44,SAFETY,7.84,68.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.4090,0.0000,0.0000,0.0000
5764,11:32:44,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3850,0.0000,0.0000,0.0000
5864,11:32:44,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3880,0.0000,0.0000,0.0000
5964,11:32:44,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3710,0.0000,0.0000,0.0000
6064,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3680,0.0000,0.0000,0.0000
6164,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3600,0.0000,0.0000,0.0000
6264,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3530,0.0000,0.0000,0.0000
6364,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3490,0.0000,0.0000,0.0000
6464,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3410,0.0000,0.0000,0.0000
6564,11:32:45,SAFETY,7.73,62.9,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.300,0.100,1.000,3.100,1.500,0.080,0.600,1.3390,0.0000,0.0000,0.0000
