millis,time,mode,bat_voltage,bat_percent,dt,v_raw,v_hat_butter,v_ref,z_ref,z_meas,e_v,int_ev,de_v_dt,de_v_dt_filt,uz_pid,Kp_up,Ki_up,Kd_up,Kp_down,Ki_down,Kd_down,Kp_z,tof_alt,leftThrust,rightThrust,verticalThrust
319834,16:10:23,SAFETY,7.97,76.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6450,0.0000,0.0000,0.0000
319954,16:10:23,SAFETY,7.87,70.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6420,0.0000,0.0000,0.0000
320054,16:10:23,SAFETY,7.87,70.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6420,0.0000,0.0000,0.0000
320154,16:10:24,SAFETY,7.87,70.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6380,0.0000,0.0000,0.0000
320254,16:10:24,SAFETY,7.87,70.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6370,0.0000,0.0000,0.0000
320354,16:10:24,SAFETY,7.87,70.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6370,0.0000,0.0000,0.0000
320454,16:10:24,SAFETY,7.82,67.6,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6350,0.0000,0.0000,0.0000
320554,16:10:24,SAFETY,7.82,67.6,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6310,0.0000,0.0000,0.0000
320654,16:10:24,SAFETY,7.82,67.6,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6290,0.0000,0.0000,0.0000
320754,16:10:24,SAFETY,7.82,67.6,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6300,0.0000,0.0000,0.0000
320854,16:10:24,SAFETY,7.82,67.6,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6270,0.0000,0.0000,0.0000
320954,16:10:24,SAFETY,7.95,75.0,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6280,0.0000,0.0000,0.0000
321056,16:10:24,SAFETY,7.95,75.0,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6230,0.0000,0.0000,0.0000
321156,16:10:25,SAFETY,7.95,75.0,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6240,0.0000,0.0000,0.0000
321256,16:10:25,SAFETY,7.95,75.0,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6190,0.0000,0.0000,0.0000
321356,16:10:25,SAFETY,7.95,75.0,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6220,0.0000,0.0000,0.0000
321456,16:10:25,SAFETY,8.00,77.9,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6210,0.0000,0.0000,0.0000
321556,16:10:25,SAFETY,8.00,77.9,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6160,0.0000,0.0000,0.0000
321656,16:10:25,SAFETY,8.00,77.9,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6170,0.0000,0.0000,0.0000
321756,16:10:25,SAFETY,8.00,77.9,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6120,0.0000,0.0000,0.0000
321858,16:10:25,SAFETY,8.00,77.9,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6110,0.0000,0.0000,0.0000
321958,16:10:25,SAFETY,7.94,74.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6060,0.0000,0.0000,0.0000
322058,16:10:25,SAFETY,7.94,74.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6050,0.0000,0.0000,0.0000
322158,16:10:26,SAFETY,7.94,74.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.5990,0.0000,0.0000,0.0000
322261,16:10:26,SAFETY,7.94,74.3,0.1000,0.1200,-0.0022,0.0090,1.5000,1.4820,0.0112,2.1041,-0.0704,-0.0162,0.2167,2.000,0.200,1.000,3.100,1.500,0.080,0.500,0.6010,0.0000,0.0000,0.0000
